siteid,sitename,operator,datasource,COMID,Class
11024500,BLACK CYN C NR MESA GRAND CA,USGS,NWIS,20329660,8
11025500,SANTA YSABEL C NR RAMONA CA,USGS,NWIS,20330878,8
11026000,SANTA YSABEL C NR SAN PASQUAL CA,USGS,NWIS,20330890,8
11027000,GUEJITO C NR SAN PASQUAL CA,USGS,NWIS,20330872,8
11027500,GUEJITO C A SAN PASQUAL CA,USGS,NWIS,20330886,8
11028500,SANTA MARIA C NR RAMONA CA,USGS,NWIS,20330908,8
11029000,SAN DIEGUITO R NR SAN PASQUAL CA,USGS,NWIS,20328616,8
11029500,SAN DIEGUITO R A BERNARDO CA,USGS,NWIS,20329222,8
11030500,SAN DIEGUITO R NR DEL MAR,USGS,NWIS,20331892,8
11030730,ESCONDIDO C NR OLIVENHAIN CA,USGS,NWIS,20341987,8
11031000,SAN LUIS REY R NR WARNER SPS CA,USGS,NWIS,20343145,3
11031500,AGUA CALIENTE C NR WARNER SPRINGS CA,USGS,NWIS,20344355,3
11033000,WF SAN LUIS REY R NR WARNER SPRINGS CA,USGS,NWIS,20343211,3
11035000,SAN LUIS REY R A LK HENSHAW NR MG CA,USGS,NWIS,20344395,3
11036700,SAN LUIS REY R A COLE GRADE RD NR PAUMA VALLEY CA,USGS,NWIS,20341605,8
11037700,PAUMA C NR PAUMA VALLEY CA,USGS,NWIS,20343093,3
11037701,PAUMA C NR PAUMA VALLEY CA (COMBINED) CA,USGS,NWIS,20343093,3
11038500,SAN LUIS REY R NR PALA CA,USGS,NWIS,20341531,8
11039100,SAN LUIS REY R TRIB NR PALA CA,USGS,NWIS,20341499,
11039600,BUBBLE-UP C NR PALA CA,USGS,NWIS,20341543,8
11039800,SAN LUIS REY R A COUSER CYN BR NR PALA CA,USGS,NWIS,20342481,8
11040000,SAN LUIS REY R AT MONSERATE NARROWS CA,USGS,NWIS,20342485,8
11040200,KEYS C TRIB A VALLEY CENTER CA,USGS,NWIS,20341767,8
11040500,SAN LUIS REY R A BONSALL CA,USGS,NWIS,20341685,8
11040700,SAN LUIS REY R BL MOOSA CYN NR BONSALL CA,USGS,NWIS,20341709,8
11041000,SAN LUIS REY R NR BONSALL CA,USGS,NWIS,20342507,8
11042000,SAN LUIS REY R A OCEANSIDE CA,USGS,NWIS,20342539,8
11042400,TEMECULA C NR AGUANGA CA,USGS,NWIS,22549471,8
11042490,WILSON C AB VAIL LK NR RADEC CA,USGS,NWIS,22549409,3
11042520,TEMECULA C 500 FT DS OF VAIL DAM NR TEMECULA CA,USGS,NWIS,22549393,8
11042600,TEMECULA C BL VAIL DAM CA,USGS,NWIS,22549393,8
11042631,PECHANGA C NR TEMECULA CA,USGS,NWIS,22549093,8
11042700,MURRIETA C NR MURRIETA CA,USGS,NWIS,22545337,8
11042800,WARM SPRINGS C NR MURRIETA CA,USGS,NWIS,22547091,8
11042900,SANTA GERTRUDIS C NR TEMECULA CA,USGS,NWIS,948070502,
11043000,MURRIETA C A TEMECULA CA,USGS,NWIS,22549073,8
11044000,SANTA MARGARITA R NR TEMECULA CA,USGS,NWIS,22549075,8
11044250,RAINBOW C NR FALLBROOK CA,USGS,NWIS,22548475,8
11044300,SANTA MARGARITA R A FPUD SUMP NR FALLBROOK CA,USGS,NWIS,22548457,8
11044350,SANDIA C NR FALLBROOK CA,USGS,NWIS,22548429,8
11044500,"SANTA MARGARITA R NR FALLBROOK,CALIF.",USGS,NWIS,22549107,8
11044600,SANTA MARGARITA R TRIB NR FALLBROOK CA,USGS,NWIS,22549105,
11044800,DE LUZ C NR DE LUZ CA,USGS,NWIS,22548441,8
11044900,DE LUZ C NR FALLBROOK CA,USGS,NWIS,22549113,8
11045000,SANTA MARGARITA R NR DE LUZ STA CA,USGS,NWIS,22548527,8
11045050,SANTA MARGARITA R A USMC DIV DAM NR YSIDORA CA,USGS,NWIS,22548555,8
11045300,FALLBROOK C NR FALLBROOK CA,USGS,NWIS,22549115,8
11045370,ONEILL LK TRIB NR FALLBROOK CA,USGS,NWIS,22549125,8
11045600,ONEILL LAKE OUTLET CH NR FALLBROOK CA,USGS,NWIS,22548547,8
11045700,ONEILL LK SPILL CH NR FALLBROOK CA,USGS,NWIS,22548545,8
11046000,SANTA MARGARITA R A YSIDORA CA,USGS,NWIS,22548559,8
11046050,SANTA MARGARITA R A MOUTH NR OCEANSIDE CA,USGS,NWIS,22549121,8
11046090,LAS FLORES C A LAS PULGAS CYN NR OCEANSIDE CA,USGS,NWIS,20351081,8
11046100,LAS FLORES C NR OCEANSIDE CA,USGS,NWIS,20351631,8
11046200,SAN ONOFRE C NR SAN ONOFRE CA,USGS,NWIS,20351621,8
11046250,SAN ONOFRE C A SAN ONOFRE CA,USGS,NWIS,20351625,8
11046300,SAN MATEO C NR SAN CLEMENTE CA,USGS,NWIS,20351605,8
11046310,SAN MATEO C NR SAN ONOFRE CA,USGS,NWIS,20350879,8
11046350,CRISTIANITOS C NR SAN CLEMENTE CA,USGS,NWIS,20350845,8
11046360,CRISTIANITOS C AB SAN MATEO C NR SAN CLEMENTE CA,USGS,NWIS,20350869,8
11046500,SAN JUAN C NR SAN JUAN CAPISTRANO CA,USGS,NWIS,20350533,8
11046501,SAN JUAN C AND CWC CANAL NR SAN JUAN CAPISTRANO CA,USGS,NWIS,948070434,8
11046530,SAN JUAN C AT LA NOVIA ST BR AT SAN JUAN CAPIS CA,USGS,NWIS,20348919,8
11046550,SAN JUAN C AT SAN JUAN CAPISTRANO CA,USGS,NWIS,948070434,8
11047000,ARROYO TRABUCO NR SAN JUAN CAPISTRANO CA,USGS,NWIS,20350529,8
11047200,OSO C A CROWN VALLEY PKWY NR MISSION VIEJO CA,USGS,NWIS,20348813,8
11047300,ARROYO TRABUCO A SAN JUAN CAPISTRANO CA,USGS,NWIS,20350681,8
11047500,ALISO C A EL TORO CA,USGS,NWIS,20350507,8
11047700,ALISO C A SOUTH LAGUNA CA,USGS,NWIS,20350539,8
11048000,PETERS CYN WASH NR TUSTIN CA,USGS,NWIS,20355396,8
11048200,AGUA CHINON WASH NR IRVINE CA,USGS,NWIS,20355400,
11048400,MARSHBURN CHANNEL NR IRVINE CA,USGS,NWIS,20357218,
11048500,SAN DIEGO C AT CULVER DRIVE NR IRVINE CA,USGS,NWIS,20355428,8
11048520,CENTRAL IRVINE CHANNEL NR TUSTIN CA,USGS,NWIS,20355330,8
11048530,EL MODINA-IRVINE CH A MYFORD RD NR TUSTIN CA,USGS,NWIS,20355334,8
11048540,PETERS CYN WASH A BARRANCA RD NR IRVINE CA,USGS,NWIS,20355372,8
11048550,SAN DIEGO C A LANE RD NR IRVINE CA,USGS,NWIS,20355412,8
11048553,SAND CYN C A IRVINE CA,USGS,NWIS,20355480,8
11048555,SAN DIEGO C A CAMPUS DRIVE NR IRVINE CA,USGS,NWIS,20355472,8
11048600,BONITA C A IRVINE CA,USGS,NWIS,20355520,8
11049250,SCE SANTA ANA R CN LOW FLOW REL BL NO 1 DIV DAM,USGS,NWIS,22555476,3
11049500,SCE SANTA ANA R CN AB PP3 NR MENTONE CA,USGS,NWIS,22558244,3
11049590,SANTA ANA R CANAL GREENSPOT SPILL NR MENTONE CA,USGS,NWIS,22558244,3
11051499,SANTA ANA R NR MENTONE (RIVER ONLY) CA,USGS,NWIS,22558244,3
11051502,SAR SUPP GAGE NR MENTONE CA,USGS,NWIS,22558244,3
11052500,MILL C POWER CANALS 2 AND 3 NR YUCAIPA CA,USGS,NWIS,22556110,
11052504,MILL C CANALS NR YUCAIPA CA,USGS,NWIS,22556090,3
11053000,MILL C POWER CN NO 1 NR YUCAIPA CA,USGS,NWIS,22556090,3
11054000,MILL C NR YUCAIPA CA,USGS,NWIS,22556090,3
11054001,MILL C NR YUCAIPA CA.+ CANALS CA,USGS,NWIS,22556090,3
11054600,CRAFTON CN NR MENTONE CA,USGS,NWIS,22556158,3
11055000,MILL C NR MENTONE CA,USGS,NWIS,22558282,3
11055500,PLUNGE C NR EAST HIGHLANDS CA,USGS,NWIS,22555860,3
11055800,CITY C NR HIGHLAND CA,USGS,NWIS,22555756,3
11056000,SANTA ANA R NR SAN BERNARDINO CA,USGS,NWIS,948070563,3
11056200,SANTA ANA R A WATERMAN AVE AT SAN BERNARDINO CA,USGS,NWIS,22556176,3
11056500,LITTLE SAN GORGONIO C NR BEAUMONT CA,USGS,NWIS,22559032,3
11057000,SAN TIMOTEO C NR REDLANDS CA,USGS,NWIS,22557960,8
11057500,SAN TIMOTEO C NR LOMA LINDA CA,USGS,NWIS,22557960,8
11058000,SAND CANYON C NR HIGHLAND CA,USGS,NWIS,22557854,8
11058500,E TWIN C NR ARROWHEAD SPRINGS CA,USGS,NWIS,22555146,8
11058600,WATERMAN CANYON CREEK NR ARROWHEAD SPRINGS CA,USGS,NWIS,22555344,8
11059000,WARM C FLOODWAY A SAN BERNARDINO CA,USGS,NWIS,22556064,7
11059300,SANTA ANA R A E ST NR SAN BERNARDINO CA,USGS,NWIS,22557930,3
11060300,LYTLE C (EAST CHANNEL) A SAN BERNARDINO CA,USGS,NWIS,22557894,3
11060400,WARM C NR SAN BERNARDINO CA,USGS,NWIS,22557922,8
11062000,LYTLE C NR FONTANA CA,USGS,NWIS,22554826,3
11062399,FONTANA WATER CO SURFACE DIV WEIR 2 NR FONTANA CA,USGS,NWIS,24843814,3
11062400,FONTANA WATER CO SURFACE DIV NR FONTANA CA,USGS,NWIS,24843814,3
11062450,FONTANA PH FOREBAY SPILLWAY NR FONTANA CA,USGS,NWIS,24843814,3
11063000,CAJON C NR KEENBROOK CA,USGS,NWIS,22554630,3
11063500,LONE PINE C NR KEENBROOK CA,USGS,NWIS,22557742,3
11063510,CAJON C BL LONE PINE C NR KEENBROOK CA,USGS,NWIS,22557744,3
11063680,DEVIL CYN C NR SAN BERNARDINO CA,USGS,NWIS,22554872,3
11063682,EB CA AQUEDUCT A DEVIL CYN PP NR SAN BERNARDINO CA,USGS,NWIS,22557796,
11065000,LYTLE C A COLTON CA,USGS,NWIS,22557922,8
11065800,WARM C NR COLTON CA,USGS,NWIS,22557922,8
11065801,WARM C NR COLTON + DIV CA,USGS,NWIS,22557922,8
11066050,SANTA ANA R A COLTON CA,USGS,NWIS,22558150,3
11066100,LYTLE C W CHANNEL A COLTON CA,USGS,NWIS,22558150,3
11066320,RIX OUTFLOW A SANTA ANA R NR GRAND TERRACE CA,USGS,NWIS,22558144,
11066440,SANTA ANA R A MISSION BLVD A RIVERSIDE CA,USGS,NWIS,948070241,3
11066460,SANTA ANA R A MWD CROSSING CA,USGS,NWIS,22563032,2
11066500,SANTA ANA R A RIVERSIDE NARROWS NR ARLINGTON CA,USGS,NWIS,22563032,2
11066550,SHEEHAN D A RN NR ARLINGTON CA,USGS,NWIS,22563022,
11066950,DAY C DIV NR ETIWANDA CA,USGS,NWIS,22555060,3
11067000,DAY C NR ETIWANDA CA,USGS,NWIS,22555060,3
11067001,DAY C NR ETIWANDA CA.+ CN CA,USGS,NWIS,22555060,3
11067500,SANTA ANA R A HAMNER AVE AT NORCO CA,USGS,NWIS,22563072,8
11067890,SANTA ANA R A PRADO PARK NR CORONA CA,USGS,NWIS,22563072,8
11068000,SANTA ANA R A RIVER ROAD NR CORONA CA,USGS,NWIS,22563072,8
11069300,WF SAN JACINTO TRIB NR VALLE VISTA CA,USGS,NWIS,22536114,
11069500,SAN JACINTO R NR SAN JACINTO,USGS,NWIS,22535256,3
11070000,BAUTISTA C NR HEMET CA,USGS,NWIS,22535350,3
11070020,BAUTISTA C AT HD OF FLOOD CHANNEL NR HEMET CA,USGS,NWIS,22535294,3
11070050,BAUTISTA C A VALLE VISTA CA,USGS,NWIS,22536106,8
11070070,BAUTISTA C A MOUTH NR VALLE VISTA CA,USGS,NWIS,22536106,8
11070150,SAN JACINTO R AB STATE STREET NR SAN JACINTO CA,USGS,NWIS,22537332,3
11070210,SAN JACINTO R A RAMONA EXPRESSWAY NR LAKEVIEW CA,USGS,NWIS,22534640,8
11070232,EF PIGEON PASS C A HEACOCK STREET N CA,USGS,NWIS,22532664,
11070240,SUNNYMEAD CHANNEL A ALLESANDRO BLVD NR SNYM CA,USGS,NWIS,22532738,8
11070256,PERRIS VALLEY STORM DR A NANDINO AVE NR MAR CA,USGS,NWIS,22532826,8
11070262,PERRIS VALLEY STORM DR A LAT B A PERRIS BLV N CA,USGS,NWIS,22532830,8
11070263,UNNAMED TRIB TO PERRIS RE NR MORENO VALLEY CA,USGS,NWIS,22534696,
11070270,PERRIS VALLEY STORM DR A NUEVO RD NR PERRIS CA,USGS,NWIS,22534638,8
11070365,SAN JACINTO R NR SUN CITY CA,USGS,NWIS,22532938,8
11070375,SAN JACINTO R A RR CYN WEIR NR ELSINORE CA,USGS,NWIS,22534654,8
11070465,SALT C A MURRIETA RD NR SUN CITY CA,USGS,NWIS,22532978,8
11070475,SALT C A RR CYN RES NR ELSINORE CA,USGS,NWIS,22534692,8
11070500,SAN JACINTO R NR ELSINORE CA,USGS,NWIS,22534666,8
11071760,COLDWATER CANYON C NR CORONA CA,USGS,NWIS,22563268,8
11071900,TEMESCAL C A CORONA LK NR CORONA CA,USGS,NWIS,22563462,8
11072000,TEMESCAL C NR CORONA CA,USGS,NWIS,22563156,8
11072100,TEMESCAL C AB MAIN ST A CORONA CA,USGS,NWIS,22560716,8
11072200,TEMESCAL C A CORONA CA,USGS,NWIS,22563090,8
11073000,SAN ANTONIO C NR CLAREMONT CA,USGS,NWIS,22554882,3
11073001,SAN ANTONIO C NR CLAREMONT + CN CA,USGS,NWIS,22554788,3
11073200,SAN ANTONIO C BL SAN ANTONIO DAM CA,USGS,NWIS,22555822,3
11073300,SAN ANTONIO C A RIVERSIDE DRIVE NR CHINO CA,USGS,NWIS,22557914,3
11073360,CHINO C A SCHAEFER AVENUE NR CHINO CA,USGS,NWIS,22556372,8
11073440,CHINO C NR CHINO CA,USGS,NWIS,22563366,8
11073470,CUCAMONGA C NR UPLAND CA,USGS,NWIS,22555310,3
11073493,W BR CUCAMONGA CHANNEL AB ELY PERC BASIN A ONTARIO,USGS,NWIS,22556262,
11073495,CUCAMONGA C NR MIRA LOMA CA,USGS,NWIS,22563070,7
11073500,CHINO C NR PRADO CA,USGS,NWIS,22560680,8
11074000,SANTA ANA R BL PRADO DAM CA,USGS,NWIS,22563116,8
11074500,SANTA ANA R A COUNTY LINE BL PRADO DAM CA,USGS,NWIS,22560768,8
11075600,SANTA ANA R A IMPERIAL HWY NR ANAHEIM CA,USGS,NWIS,22563160,8
11075610,SANTA ANA R AB SPRD DIV BL IMPERIAL HWY NR ANAHEIM,USGS,NWIS,22563160,8
11075720,CARBON C BL CARBON CYN DAM CA,USGS,NWIS,22527369,8
11075730,CARBON C A OLINDA CA,USGS,NWIS,22527369,8
11075740,CARBON C NR YORBA LINDA CA,USGS,NWIS,22527369,8
11075755,SANTA ANA R A BALL RD AT ANAHEIM CA,USGS,NWIS,22560942,8
11075760,SANTA ANA R NR KATELLA AVENUE A ORANGE CA,USGS,NWIS,24843730,8
11075800,SANTIAGO C A MODJESKA CA,USGS,NWIS,22563272,8
11077000,SANTIAGO C NR VILLA PARK CA,USGS,NWIS,22563182,8
11077001,SANTIAGO C + DIV NR VILLA PARK CA,USGS,NWIS,22563182,8
11077500,SANTIAGO C A SANTA ANA CA,USGS,NWIS,22563210,8
11078000,SANTA ANA R A SANTA ANA CA,USGS,NWIS,22563212,8
11078100,SANTA ANA R ADAMS ST NR COSTA MESA CA,USGS,NWIS,22563212,8
11080000,EF SAN GABRIEL R A CAMP BONITA CA,USGS,NWIS,22524643,3
11080500,EF SAN GABRIEL R NR CAMP BONITA CA,USGS,NWIS,22522855,3
11080880,WF SAN GABRIEL R BL COGSWELL DAM CA,USGS,NWIS,22524651,3
11081000,BEAR C NR CAMP RINCON CA,USGS,NWIS,22524629,3
11081500,NF SAN GABRIEL R A CAMP RINCON CA,USGS,NWIS,22524631,3
11082000,WF SAN GABRIEL R A CAMP RINCON CA,USGS,NWIS,22524649,3
11083500,SAN GABRIEL R NR AZUSA CA,USGS,NWIS,22524699,3
11084000,ROGERS C NR AZUSA CA,USGS,NWIS,22524683,8
11084500,FISH C NR DUARTE CA,USGS,NWIS,22524697,8
11084950,SANTA FE DIV CHANNEL CA,USGS,NWIS,22518000,
11085000,SAN GABRIEL R BL SANTA FE DAM NR BALDWIN PK CA,USGS,NWIS,22524845,3
11085560,PUDDINGSTONE C BL PUDDINGSTONE DAM NR SAN DIMAS CA,USGS,NWIS,22524743,8
11086000,DALTON C NR GLENDORA CA,USGS,NWIS,22523091,8
11086300,SAN DIMAS C BL SAN DIMAS DAM CA,USGS,NWIS,22524711,8
11086400,SAN DIMAS C NR SAN DIMAS CA,USGS,NWIS,22523137,8
11086500,LITTLE DALTON C NR GLENDORA CA,USGS,NWIS,22524703,
11086990,SAN JOSE C NR EL MONTE CA,USGS,NWIS,22520999,8
11087020,SAN GABRIEL R AB WHITTIER NARROWS DAM CA,USGS,NWIS,22521721,8
11087195,SAN JOSE C NR WHITTIER CA,USGS,NWIS,22521007,
11087500,SAN GABRIEL R A PICO CA,USGS,NWIS,22521027,8
11088000,SAN GABRIEL R A SPRING ST NR LOS ALAMITOS CA,USGS,NWIS,22525157,8
11088500,BREA C BL BREA DAM NR FULLERTON CA,USGS,NWIS,22527375,8
11089000,BREA C A FULLERTON CA,USGS,NWIS,22525745,8
11089200,COYOTE C NR BUENA PARK CA,USGS,NWIS,22524969,8
11089500,FULLERTON C BL FULLERTON DAM NR BREA CA,USGS,NWIS,22527373,8
11090000,FULLERTON C A FULLERTON CA,USGS,NWIS,22525749,8
11090200,FULLERTON C A RICHMAN AVE AT FULLERTON CA,USGS,NWIS,22525749,8
11090400,FULLERTON C NR BUENA PARK CA,USGS,NWIS,22524975,8
11090500,COYOTE C NR ARTESIA CA,USGS,NWIS,22524985,8
11090600,CARBON C A LOS ALAMITOS CA,USGS,NWIS,22524989,8
11090700,COYOTE C A LOS ALAMITOS CA,USGS,NWIS,22525001,8
11092000,LIMEKILN C AB ALISO C NR CHATSWORTH CA,USGS,NWIS,22514716,8
11092450,LOS ANGELES R A SEPULVEDA DAM CA,USGS,NWIS,22515812,8
11093000,PACOIMA C NR SAN FERNANDO CA,USGS,NWIS,22514292,3
11093490,NF MILL C NR LA CANADA CA,USGS,NWIS,22514320,3
11093500,MILL C NR COLBY RANCH CA,USGS,NWIS,22514358,3
11094000,BIG TUJUNGA C BL MILL C NR COLBY RANCH CA,USGS,NWIS,22514414,3
11094500,BIG TUJUNGA C NR COLBY RANCH CA,USGS,NWIS,22514424,3
11095000,FOX C NR COLBY RANCH CA,USGS,NWIS,22514428,3
11095500,BIG TUJUNGA C NR SUNLAND CA,USGS,NWIS,22514458,3
11096000,HAINES C NR TUJUNGA CA,USGS,NWIS,22515766,
11096500,LITTLE TUJUNGA C NR SAN FERNANDO CA,USGS,NWIS,22515740,7
11097000,BIG TUJUNGA C BL HANSEN DAM CA,USGS,NWIS,22515762,6
11097260,WILDWOOD CANYON CR A BURBANK CA,USGS,NWIS,22514746,
11097500,LOS ANGELES R A LOS ANGELES CA,USGS,NWIS,22515824,8
11098000,ARROYO SECO NR PASADENA CA,USGS,NWIS,22514774,8
11098500,LOS ANGELES R NR DOWNEY CA,USGS,NWIS,22518268,8
11099500,SAWPIT C NR MONROVIA CA,USGS,NWIS,22516662,8
11100000,SANTA ANITA C NR SIERRA MADRE CA,USGS,NWIS,22514894,8
11100500,LITTLE SANTA ANITA C NR SIERRA MADRE CA,USGS,NWIS,22515816,
11100760,ARCADIA WASH A GRAND AVE A ARCADIA CA,USGS,NWIS,22515006,8
11101000,EATON C NR PASADENA CA,USGS,NWIS,22514928,8
11101080,EATON WASH A LOFTAS DRIVE EL MONTE CA,USGS,NWIS,22515818,8
11101180,RUBIO WASH A GLENDON WAY NR EL MONTE CA,USGS,NWIS,22515016,
11101250,RIO HONDO AB WHITTIER NARROWS DAM CA,USGS,NWIS,22515826,8
11101380,ALHAMBRA WASH A KLINGERMAN ST NR MONTEBELLO CA,USGS,NWIS,22515828,8
11101500,RIO HONDO NR MONTEBELLO CA,USGS,NWIS,22515018,8
11102000,MISSION C NR MONTEBELLO CA,USGS,NWIS,22515020,
11102250,MISSION C BL WHITTIER NARROWS DAM CA,USGS,NWIS,22515020,
11102300,RIO HONDO BL WHITTIER NARROWS DAM CA,USGS,NWIS,22515830,8
11102500,RIO HONDO NR DOWNEY CA,USGS,NWIS,22518270,8
11102750,COMPTON C A 120TH ST NR COMPTON CA,USGS,NWIS,22518272,
11103000,LOS ANGELES R A LONG BEACH CA,USGS,NWIS,22518274,8
11103500,BALLONA C NR CULVER CITY CA,USGS,NWIS,20366291,
11104000,TOPANGA C NR TOPANGA BCH CA,USGS,NWIS,20365153,8
11105500,MALIBU C AT CRATER CAMP NR CALABASAS CA,USGS,NWIS,20365093,8
11105510,MALIBU C A MALIBU CA,USGS,NWIS,20365167,8
11105850,ARROYO SIMI NR SIMI CA,USGS,NWIS,17563896,8
11106000,CALLEGUAS C A CAMARILLO,USGS,NWIS,17562594,8
11106400,CONEJO CREEK ABOVE HIGHWAY 101 CA,USGS,NWIS,17564046,8
11106500,CONEJO C NR CAMARILLO CA,USGS,NWIS,17564090,8
11107000,HONDA BARRANCA NR SOMIS CA,USGS,NWIS,17562544,8
11107500,BEARDSLEY WASH NR SOMIS CA,USGS,NWIS,948070326,8
11107745,SANTA CLARA R AB RR STATION NR LANG CA,USGS,NWIS,17574557,6
11107770,MINT CYN C A SIERRA HWY NR SAUGUS CA,USGS,NWIS,17574635,6
11107860,BOUQUET C NR SAUGUS CA,USGS,NWIS,17574375,6
11107870,BOUQUET C BL HASKELL CYN C NR SAUGUS CA,USGS,NWIS,24858041,6
11107922,SF SANTA CLARA R A SAUGUS CA,USGS,NWIS,17574745,6
11108000,SANTA CLARA R NR SAUGUS CA,USGS,NWIS,17574541,6
11108095,NECKTIE CYN C AB CASTAIC C NR CASTAIC CA,USGS,NWIS,17570001,7
11108134,CASTAIC C BLW MWD DIV BLW CASTAIC LK NR CASTAIC,USGS,NWIS,17570321,6
11108135,CASTAIC LAGOON PARSHALL FL NR CASTAIC CA,USGS,NWIS,17570449,
11108145,CASTAIC C NR SAUGUS CA,USGS,NWIS,17574587,6
11108500,SANTA CLARA RIVER AT L.A.-VENTURA CO. LINE CA,USGS,NWIS,17574705,6
11109000,SANTA CLARA R NR PIRU CA,USGS,NWIS,17575785,6
11109100,PIRU C BL THORN MEADOWS NR STAUFFER CA,USGS,NWIS,17567453,3
11109200,MF LOCKWOOD C NR STAUFFER CA,USGS,NWIS,17568541,3
11109250,LOCKWOOD C A GORGE NR STAUFFER CA,USGS,NWIS,17567207,3
11109395,CANADA DE LOS ALAMOS AB PYRAMID LK CA,USGS,NWIS,17569239,
11109396,CA AQUEDUCT A N PORTAL TEHACHAPI TNL NR GORMAN CA,USGS,NWIS,14950768,
11109397,OSO PUMPING PLANT NR GORMAN CA,USGS,NWIS,22680418,7
11109398,WB CA AQUEDUCT A WILLIAM WARNE PP NR GORMAN CA,USGS,NWIS,17569239,
11109525,PIRU C BL PYRAMID LK NR GORMAN CA,USGS,NWIS,24858039,3
11109550,PIRU C AB FRENCHMANS FLAT CA,USGS,NWIS,17572259,3
11109600,PIRU CREEK ABOVE LAKE PIRU CA,USGS,NWIS,17572335,3
11109800,PIRU CREEK BELOW SANTA FELICIA DAM CA,USGS,NWIS,17575859,3
11110000,PIRU C NR PIRU CA,USGS,NWIS,17574539,3
11110500,HOPPER CREEK NEAR PIRU CA,USGS,NWIS,17574757,6
11111500,SESPE CREEK NEAR WHEELER SPRINGS CA,USGS,NWIS,17567911,3
11113000,SESPE C NR FILLMORE,USGS,NWIS,17574397,
11113001,SESPE C + FILLMORE IRR CO CN NR FILLMORE CA,USGS,NWIS,17574345,3
11113500,SANTA PAULA C NR SANTA PAULA,USGS,NWIS,17573647,7
11113900,SATICOY DIV NR SATICOY,USGS,NWIS,17573735,6
11114000,SANTA CLARA RIVER AT MONTALVO CA,USGS,NWIS,17573713,6
11114495,MATILIJA C NR RES NR MATILIJA HOT SPRINGS CA,USGS,NWIS,17585808,3
11114500,MATILIJA C AB RES NR MATILIJA HOT SPRINGS CA,USGS,NWIS,17587578,3
11115500,MATILIJA C A MATILIJA HOT SPRINGS,USGS,NWIS,17586470,6
11116000,NF MATILIJA C A MATILIJA HOT SPRINGS CA,USGS,NWIS,17586460,7
11116500,VENTURA R NR OJAI CA,USGS,NWIS,17586488,6
11116550,VENTURA R NR MEINERS OAKS CA,USGS,NWIS,17587730,7
11117000,SAN ANTONIO C NR OJAI CA,USGS,NWIS,17586736,7
11117500,SAN ANTONIO C A CASITAS SPRINGS,USGS,NWIS,17586842,6
11117600,COYOTE CREEK NEAR OAK VIEW CA,USGS,NWIS,17586774,6
11117800,SANTA ANA C NR OAK VIEW,USGS,NWIS,17586728,6
11118000,COYOTE C NR VENTURA CA,USGS,NWIS,17587614,6
11118500,VENTURA R NR VENTURA,USGS,NWIS,948070372,7
11119500,CARPINTERIA C NR CARPINTERIA CA,USGS,NWIS,17596159,6
11119530,FRANKLIN C A CARPINTERIA CA,USGS,NWIS,17595477,
11119660,SAN YSIDRO C A MONTECITO CA,USGS,NWIS,17595443,6
11119700,SYCAMORE C A SANTA BARBARA CA,USGS,NWIS,17595447,7
11119745,MISSION C A ROCKY NOOK PARK A SANTA BARBARA CA,USGS,NWIS,17595453,6
11119750,MISSION C NR MISSION ST NR SANTA BARBARA CA,USGS,NWIS,17595453,6
11119760,VICTORIA ST DRAIN A OUTLET NR SANTA BARBARA CA,USGS,NWIS,17595453,6
11119780,ARROYO BURRO A SANTA BARBARA CA,USGS,NWIS,17596153,6
11119900,ATASCADERO C A PUENTE RD NR GOLETA CA,USGS,NWIS,17595361,8
11119940,MARIA YGNACIO C A UNIVERSITY DRIVE NR GOLETA CA,USGS,NWIS,17596111,6
11120000,ATASCADERO C NR GOLETA CA,USGS,NWIS,17595429,8
11120500,SAN JOSE C NR GOLETA CA,USGS,NWIS,17596109,6
11120510,SAN JOSE C A GOLETA CA,USGS,NWIS,17595405,7
11120520,SAN PEDRO C A GOLETA CA,USGS,NWIS,17596097,7
11120530,TECOLOTITO C NR GOLETA CA,USGS,NWIS,17595369,8
11120550,GAVIOTA C NR GAVIOTA CA,USGS,NWIS,17594763,7
11120600,JALAMA C NR LOMPOC CA,USGS,NWIS,17593507,4
11120700,CANADA HONDA C NR LOMPOC CA,USGS,NWIS,17593939,8
11120800,CANADA HONDA C NR ARGUELLO CA,USGS,NWIS,17593941,4
11121000,SANTA YNEZ R A JAMESON LK NR MONTECITO CA,USGS,NWIS,17611833,7
11121010,JAMESON LK RELEASE WEIR A JAMESON LAKE CA,USGS,NWIS,17611833,7
11121900,GIBRALTAR DAM DIV WEIR A GIBRALTAR DAM CA,USGS,NWIS,17610919,7
11122010,GIBRALTAR DAM RELEASE WEIR A GIBRALTAR DAM CA,USGS,NWIS,17610919,7
11123000,SANTA YNEZ R BL GIBRALTAR DAM NR SANTA BARBARA CA,USGS,NWIS,17610919,7
11123500,SANTA YNEZ R BL LOS LAURLS CYN NR SNTA YNEZ CA,USGS,NWIS,17611449,7
11124000,SANTA CRUZ C AB STUKE CN NR SANTA YNEZ CA,USGS,NWIS,17609897,6
11124500,SANTA CRUZ C NR SANTA YNEZ CA,USGS,NWIS,17611425,7
11125000,CACHUMA C NR SANTA YNEZ CA,USGS,NWIS,17611423,7
11125600,HILTON CYN C NR SANTA YNEZ CA,USGS,NWIS,17610419,7
11125605,HILTON CYN C 0.25 MI BL BRADBURY DAM NR SANTA YNEZ,USGS,NWIS,17610419,7
